# xi	alpha_0	alpha_0p5	alpha_1	alpha_2	alpha_5	alpha_10	alpha_100
0.3275	0.501939490764	0.389290647815	0.368446095767	0.358135495979	0.380247786151	0.403874156977	0.247633969424
0.3325	0.472658419856	0.394414294041	0.3830897179	0.349122453913	0.385089296504	0.391219862202	0.249246297952
0.3375	0.524847297418	0.406990516597	0.378784309784	0.375616907066	0.399966174677	0.424745867237	0.268963475836
0.3425	0.491128443809	0.412300477231	0.398819506823	0.369560661534	0.407208865367	0.415885235523	0.267584996483
0.3475	0.546220543699	0.434245652886	0.393899040404	0.387936892625	0.418849370043	0.442742794764	0.295216122793
0.3525	0.513289707579	0.433380621705	0.417009528954	0.391801477568	0.428819488397	0.438332169199	0.28859449876
0.3575	0.565395635931	0.458240287031	0.411225363643	0.404653167767	0.439298552584	0.464441497318	0.325001123091
0.3625	0.533944060712	0.454154678222	0.437646697948	0.412304527219	0.448250779274	0.458206237963	0.317111790368
0.3675	0.581225110053	0.481529588059	0.435919300163	0.426362279161	0.464002000288	0.487859818768	0.349789135737
0.3725	0.547119160134	0.47592684764	0.45837547137	0.435556878909	0.470579146427	0.476741366824	0.348078344397
0.3775	0.59646011484	0.507427290802	0.46224903004	0.451702544194	0.488405300449	0.512249527991	0.37239865869
0.3825	0.560778129943	0.499189532324	0.479326712689	0.453595931448	0.495504442314	0.494344488497	0.377260259979
0.3875	0.615649031941	0.530942830755	0.487701974677	0.479584616773	0.514400687573	0.538805169411	0.396743588686
0.3925	0.581197460316	0.518339991855	0.504230030758	0.472490898773	0.524736202935	0.516082571636	0.408866822279
0.3975	0.634506152205	0.555988810489	0.51513095769	0.506727490219	0.539887128864	0.566332198604	0.427008595188
0.4025	0.605874850104	0.540125469446	0.529525939233	0.495406071911	0.552075729052	0.543990279821	0.443119572622
0.4075	0.656681240843	0.58689038591	0.538123669119	0.535361730338	0.564877674217	0.596825898563	0.459698248408
0.4125	0.631091409752	0.562642896497	0.557622325936	0.515805374315	0.573712451869	0.568865682931	0.473581504746
0.4175	0.676589051091	0.615582804777	0.564322535527	0.562465698567	0.587284340729	0.623617823495	0.489557095815
0.4225	0.659266491201	0.588993077089	0.593452743631	0.541366102247	0.597006511114	0.591089459957	0.505544994735
0.4275	0.701197316538	0.647628882992	0.595821372412	0.594251261307	0.610591449867	0.65247066573	0.526652959823
0.4325	0.685298718075	0.617073320043	0.628419462434	0.566900893368	0.623758792039	0.609952760362	0.542763937257
0.4375	0.729095900622	0.682549526362	0.630565623318	0.629421577975	0.640527904717	0.682741209039	0.569435051161
0.4425	0.71101297298	0.649358945354	0.666710113338	0.593097073186	0.647731445727	0.636245864546	0.581459821942
0.4475	0.753579742255	0.715833264574	0.665048147287	0.666212945374	0.67026861117	0.713956886398	0.614518710703
0.4525	0.736257182365	0.685410783346	0.69888944026	0.630666544937	0.678163796517	0.672856682104	0.623528057901
0.4575	0.783538231705	0.753468775036	0.707735810736	0.708593695695	0.706325465901	0.74790295101	0.663873194669
0.4625	0.766409219971	0.723951249504	0.734288008509	0.671919043948	0.723747073235	0.712381662982	0.672168686488
0.4675	0.820934500263	0.790585266789	0.754113823998	0.750364930941	0.757454947201	0.782912291429	0.715270781961
0.4725	0.802796273147	0.763037350716	0.777643075647	0.71339200586	0.76735981609	0.757629955604	0.729634044501
0.4775	0.867800803557	0.832000298103	0.803894287443	0.800474851149	0.812133999435	0.831678583013	0.773265377583
0.4825	0.843593459289	0.814925913406	0.836400773037	0.774097113648	0.81815000017	0.811620738184	0.793585640184
0.4875	0.910104900335	0.886723501433	0.863031488891	0.869648327957	0.876691820771	0.899308175003	0.846078626247
0.4925	0.89235376953	0.882092257572	0.909906783334	0.857963794286	0.891620898516	0.896197108756	0.878583661697
0.4975	1.009201555795	1.002358208081	0.980363674814	1.004441938372	0.997507731409	1.028108942977	0.981637301159
0.5025	0.968888240042	0.967810193527	1.004665020928	0.956225405418	0.982422054946	1.003916136681	0.994954396334
0.5075	1.006782203855	1.006603514954	0.981175028319	1.012832496958	1.006446908206	1.028739032343	1.014462340744
0.5125	0.969247686616	0.961182723863	1.005882051185	0.953981871206	0.98452308774	0.997982795147	0.994449774428
0.5175	1.002703867728	1.002517906145	0.982732303595	1.014103400731	1.006929754252	1.022635041606	1.017034681679
0.5225	0.971902061316	0.957962146236	0.999378136797	0.957574119627	0.98148246264	0.990434849613	0.993846689711
0.5275	1.011067913006	1.008626357101	0.991382378868	1.01942044713	0.997625180447	1.017423677472	1.017686997801
0.5325	0.970796071857	0.962540157409	0.993345330896	0.962852260808	0.978572336471	0.990251073548	0.992788214494
0.5375	1.016335187801	1.010023715163	0.994915692519	1.027292269481	0.997716529699	1.00748664309	1.019717793276
0.5425	0.966855984412	0.962260685797	0.98995596706	0.965834994154	0.982891851099	0.989765379661	0.985834278474
0.5475	1.021325965232	1.00927845753	0.992089041598	1.022662548593	0.99634629092	1.000385010857	1.024973245808
0.5525	0.970353676074	0.970391978899	0.985611299903	0.975288962019	0.995458898187	0.99479296773	0.976652621357
0.5575	1.029316739068	1.011660620321	0.998435919824	1.01263797087	0.995210950218	1.001054480808	1.037096479401
0.5625	0.970312201469	0.97970769931	0.982326626842	0.985585876265	1.004959220389	1.002445928159	0.975532606883
0.5675	1.033367425458	1.013031362038	1.006745750078	1.013960748267	0.998943219654	1.002196517785	1.047828925789
0.5725	0.968611742677	0.978470039312	0.985689817985	0.986636317139	1.00163149764	0.998284712969	0.971951022136
0.5775	1.032427334419	1.014481952788	1.010449186239	1.016567397843	0.998917119868	1.004191800778	1.050536653089
0.5825	0.969703907267	0.975382543405	0.99224607776	0.990072944689	0.996959635898	0.996118780772	0.969649453931
0.5875	1.030519502603	1.017183511707	1.012961764835	1.015880072333	1.005402916756	1.006278971804	1.053478229565
0.5925	0.969123262802	0.982076553929	0.998592955986	0.996959168196	0.995302299469	1.003391062209	0.973021805205
0.5975	1.037293688035	1.017356517943	1.010815603951	1.015698514651	1.010153077856	1.008366142831	1.054598244039
0.6025	0.972192383548	0.996875241211	1.004193912441	1.003650865615	0.994454056416	1.014286357502	0.975914150275
0.6075	1.045090913716	1.017755763104	1.00711216779	1.012054392607	1.013024054346	1.019458341051	1.047311996032
0.6125	0.975330628636	0.99937717755	1.008852651922	1.00776185027	0.993905960904	1.013945059095	0.97505260068
0.6175	1.040888153775	1.0179953102	1.00369663126	1.010822394051	1.018478909676	1.026704368764	1.044111954678
0.6225	0.971860586711	1.001054007224	1.010187459301	1.003469307933	0.993905960904	1.009245642571	0.972726416772
0.6275	1.037348987508	1.012392569781	1.000516648974	1.017332533788	1.023385669495	1.023882093477	1.047151993964
0.6325	0.96928916122	1.002038811953	1.008918083656	1.006737346208	0.99917811773	1.004677494665	0.976911086236
0.6375	1.040293684441	1.012592192362	1.002008492516	1.020834003368	1.027809583267	1.023488287623	1.050315111765
0.6425	0.96648271297	0.996183216266	1.00848623421	1.018875774084	0.999465215379	0.994254766396	0.983889637958
0.6475	1.038441152098	1.012046557309	0.999953936059	1.017877206834	1.026517643847	1.02776764457	1.045121198489
0.6525	0.965763819822	0.995531115837	1.013001023876	1.028329741949	0.99680303718	0.98632614187	0.98354501812
0.6575	1.035925026081	1.010968595376	0.994928778866	1.011068793762	1.030119414352	1.032178270134	1.044875041462
