# xi	alpha_0	alpha_0p5	alpha_1	alpha_2	alpha_5	alpha_10	alpha_100
0.1075	0.140889232114	0.114479108063	0.10461895513	0.083572309198	0.067032654805	0.062047255517	0.037427643522
0.1125	0.148783231873	0.120463637056	0.100189179043	0.092439776524	0.071298369202	0.060604296086	0.041687295464
0.1175	0.152723319318	0.126128280312	0.114530086198	0.092037299969	0.073291575036	0.068125562499	0.044265505849
0.1225	0.165608096506	0.131046523515	0.108983007537	0.101605855489	0.080769270809	0.067550932637	0.049720849564
0.1275	0.166879984383	0.137644166837	0.123205612066	0.100995649099	0.081835699408	0.076323615193	0.049945041771
0.1325	0.179944484859	0.142162552869	0.119998296442	0.11148600576	0.088500878153	0.07702594058	0.056770448976
0.1375	0.181188723	0.14762726754	0.133826558887	0.109798200852	0.090430606095	0.08453443744	0.056807814344
0.1425	0.193506680591	0.157823625401	0.133143032606	0.123573285528	0.09814951786	0.087382047644	0.063620766426
0.1475	0.198884554332	0.15894322548	0.144447505707	0.117094711302	0.098492298481	0.09374128478	0.065875143623
0.1525	0.205603440291	0.171245497775	0.142488940019	0.134595949891	0.105677995947	0.095439635261	0.068067245207
0.1575	0.214022785042	0.170512426295	0.153136176312	0.126208857808	0.107823548724	0.103011979883	0.075365947072
0.1625	0.220216326008	0.181974998531	0.1509147159	0.145969158351	0.111530657664	0.104991260518	0.073211210856
0.1675	0.231096497304	0.182601441432	0.166307201948	0.137127657254	0.115631329539	0.113036078583	0.085479506653
0.1725	0.237801558394	0.194223956536	0.16287642581	0.157822742055	0.120011304143	0.117901278079	0.080298175636
0.1775	0.248184034434	0.194837070865	0.17688871456	0.14785170998	0.126651091731	0.12664842153	0.093562881244
0.1825	0.250285414405	0.203847185785	0.172498372682	0.167975537735	0.130929501706	0.130619752352	0.088356639982
0.1875	0.263792310664	0.208218957522	0.190020305988	0.161172385642	0.137175726358	0.140656620604	0.100799307495
0.1925	0.26366788685	0.215309758021	0.183894858936	0.177803755548	0.142584042826	0.143133913786	0.095916899422
0.1975	0.276870636008	0.221747458474	0.206319778832	0.174272348355	0.145427852424	0.151727822607	0.108832861596
0.2025	0.277216257713	0.228305116079	0.198485516078	0.189060115976	0.153832325431	0.155558688352	0.102269011966
0.2075	0.293253104858	0.235222645138	0.222001449076	0.187956551228	0.155292316966	0.166042490941	0.116031922479
0.2125	0.287667858094	0.243339745709	0.208422936618	0.202212011147	0.164598176052	0.166016951836	0.111137059283
0.2175	0.309428200685	0.249644160439	0.237972303515	0.201679703445	0.167911722056	0.180459315695	0.124899969796
0.2225	0.300151714104	0.255455417991	0.217505949308	0.214000679277	0.176519324321	0.175287646939	0.122209663307
0.2275	0.329183937383	0.263052704241	0.252037171211	0.216194825658	0.180721560825	0.191888065168	0.135623830386
0.2325	0.316243860722	0.265545147273	0.228179475073	0.224659816429	0.18747560862	0.189142611384	0.133107895614
0.2375	0.347529537522	0.27746089097	0.262973591699	0.229385670173	0.191931756695	0.204887469596	0.144965172363
0.2425	0.333276098379	0.278687119628	0.239168474506	0.239940942408	0.198812760275	0.203457279718	0.143607563996
0.2475	0.361852101007	0.292242277725	0.272253775431	0.238019441435	0.201935872601	0.218435964781	0.15794341015
0.2525	0.351884371014	0.290642849041	0.250854144956	0.250340417267	0.210022956145	0.212804592135	0.154368789954
0.2575	0.381773736124	0.305570850092	0.282559248584	0.248730511047	0.213387284464	0.230401035457	0.17438417203
0.2625	0.369165456299	0.298146835284	0.264130328482	0.25650739674	0.221436281272	0.222739303967	0.164021509997
0.2675	0.399538691797	0.316526936578	0.293495669072	0.264362181122	0.224140439506	0.239531265483	0.190563376335
0.2725	0.38351566952	0.31112886477	0.277656261995	0.27012668404	0.2317831778	0.23632610781	0.176339626284
0.2775	0.41652945485	0.332547880564	0.309256207733	0.278383944977	0.23707723406	0.24969582926	0.206107369385
0.2825	0.399552516665	0.326736623012	0.292102327039	0.289964883271	0.244097889005	0.251483566608	0.19129822857
0.2875	0.432096256475	0.347555853049	0.329393943537	0.292094114079	0.252311928334	0.267930750206	0.22101615118
0.2925	0.413363560025	0.338865623866	0.306416944722	0.307440155631	0.260411707456	0.269552483371	0.209196239798
0.2975	0.448879646504	0.356366039384	0.348296074141	0.303363457622	0.269082787614	0.289970997792	0.237332361834
0.3025	0.422252950296	0.350874667569	0.321704272881	0.316359555417	0.275138578588	0.289524063455	0.227978564734
0.3075	0.467031698487	0.364136597074	0.361256783998	0.309829048732	0.28544738838	0.308103762319	0.251481381149
0.3125	0.437335881533	0.364536454245	0.336978456303	0.330134640092	0.29109692084	0.308244227396	0.245515377406
0.3175	0.483815088516	0.379077926698	0.377293362119	0.323097791936	0.30248485481	0.325636357878	0.268021784009
0.3225	0.453967198012	0.38263665552	0.352252639726	0.347350250159	0.30760117297	0.324972341149	0.265219381416
0.3275	0.501939490764	0.394152542045	0.396103479569	0.340222520199	0.322277261787	0.342300623869	0.286866384558
0.3325	0.472658419856	0.400616899643	0.368801862557	0.363618092853	0.324448205721	0.337269420191	0.286006981096
0.3375	0.524847297418	0.411213114675	0.415150202271	0.354828524215	0.340025680616	0.360727088103	0.310568482935
0.3425	0.491128443809	0.418797072352	0.386192348502	0.381353027507	0.34096515343	0.354201846784	0.306321286116
0.3475	0.546220543699	0.432445530457	0.433776293416	0.374861470166	0.359107135194	0.379740951751	0.332888062699
0.3525	0.513289707579	0.441962131127	0.403556544974	0.39745208971	0.356250630018	0.375297147486	0.3272209819
0.3575	0.565395635931	0.456490275007	0.454965608112	0.397776667577	0.380930834742	0.395141032045	0.354099136549
0.3625	0.533944060712	0.463820989809	0.421748859826	0.418913178277	0.37291992467	0.394438706659	0.354036860935
0.3675	0.581225110053	0.48128141961	0.472881883504	0.420263422204	0.405636430623	0.411996841323	0.376368895822
0.3725	0.547119160134	0.483760534071	0.442254648242	0.446671077463	0.39118886222	0.415585085571	0.380167708226
0.3775	0.59646011484	0.503780049766	0.484856738149	0.442023122408	0.428564645505	0.433820006518	0.394329182664
0.3825	0.560778129943	0.508151821503	0.467111344328	0.474078432554	0.414713769294	0.438442584517	0.405675799385
0.3875	0.615649031941	0.527931422896	0.504048052949	0.466885787021	0.445665589828	0.460559449418	0.419276793304
0.3925	0.581197460316	0.529464208718	0.491613132538	0.497383123405	0.441831525102	0.461236235699	0.433811921421
0.3975	0.634506152205	0.550789924506	0.528286946436	0.49614972751	0.468466848924	0.486685953799	0.452183227309
0.4025	0.605874850104	0.550883224512	0.515904604969	0.520389202619	0.465280258705	0.489852802815	0.45842324375
0.4075	0.656681240843	0.579926183701	0.551829168906	0.523725863091	0.4912808036	0.514651273737	0.486883198974
0.4125	0.631091409752	0.575101240504	0.537751156474	0.543187551997	0.490633329093	0.515532372859	0.482685822645
0.4175	0.676589051091	0.608729228586	0.583337101491	0.551418846705	0.512672853476	0.543753083847	0.522965689251
0.4225	0.659266491201	0.602131585264	0.565591707669	0.573905601331	0.517129001551	0.544314944156	0.509987451464
0.4275	0.701197316538	0.638105402084	0.614200942004	0.583863650291	0.545706748893	0.569688044941	0.556856077944
0.4325	0.685298718075	0.635506330472	0.599820600641	0.609128791459	0.539892173912	0.573403984713	0.538061297886
0.4375	0.729095900622	0.668614504232	0.65033582172	0.619761962382	0.583971222678	0.598393998923	0.591991978901
0.4425	0.71101297298	0.667708161311	0.63069758589	0.641625527504	0.570640865188	0.601943934514	0.570980187014
0.4475	0.753579742255	0.698803720644	0.690966201203	0.649726991065	0.621385092699	0.633995511247	0.633529812893
0.4525	0.736257182365	0.701096235091	0.66705592612	0.675005115347	0.60901959918	0.632769634209	0.611260053619
0.4575	0.783538231705	0.732884880187	0.738392409283	0.685508455124	0.664207279188	0.671665691073	0.682104791174
0.4625	0.766409219971	0.737509894799	0.711997779065	0.716343352489	0.651854481247	0.672342477354	0.650456324556
0.4675	0.820934500263	0.773243797316	0.780429275536	0.731144103225	0.712882127393	0.713690288296	0.735736549246
0.4725	0.802796273147	0.775682926059	0.751681737545	0.761823203215	0.697799780062	0.727621870055	0.694285901113
0.4775	0.867800803557	0.819733857733	0.827132523127	0.78070065196	0.768983889057	0.764602494047	0.79575778523
0.4825	0.843593459289	0.82050691493	0.802749037542	0.820130371244	0.761887060641	0.796258214653	0.751753836956
0.4875	0.910104900335	0.875353990221	0.88492992804	0.847693523711	0.841640685165	0.839559767124	0.865743119323
0.4925	0.89235376953	0.884310790852	0.875689178517	0.900366019969	0.858246501924	0.876042378569	0.836137292817
0.4975	1.009201555795	0.987380640968	0.996410435448	0.981432588033	0.992210246906	0.987175793832	1.016113814911
0.5025	0.968888240042	0.973638882858	0.966821634343	0.998271687774	0.974563392705	0.980088692204	0.95502143838
0.5075	1.006782203855	0.994831312922	0.997659185384	0.990429886507	0.997593172216	0.994390590985	1.03368799295
0.5125	0.969247686616	0.977437525982	0.960485871512	0.999751762847	0.973547746421	0.978134950674	0.955382636936
0.5175	1.002703867728	0.995364455816	1.000301277353	0.990806396833	1.006670510888	0.999370716454	1.028730854141
0.5225	0.971902061316	0.982009226304	0.955622319131	0.998531350067	0.975452083205	0.975504422862	0.957774020482
0.5275	1.011067913006	1.00124235623	1.008490447983	0.986483019644	1.018160009486	1.000928601857	1.025629528605
0.5325	0.970796071857	0.979996611877	0.958172397947	0.997271987943	0.97752146251	0.98073993938	0.962008762179
0.5375	1.016335187801	1.008746342473	1.013919224019	0.980796415414	1.016496888695	0.995476002946	1.017072859354
0.5425	0.966855984412	0.977717426002	0.95809352953	1.003374051843	0.981787176907	0.984468648706	0.959156539095
0.5475	1.021325965232	1.00501434221	1.014707908189	0.974824182661	1.019226438085	0.992832705582	1.01327404695
0.5525	0.970353676074	0.985408012258	0.963482871357	1.007489699197	0.988084183874	0.984289874971	0.961934031443
0.5575	1.029316739068	1.008119899572	1.017087105434	0.976369173308	1.0273896951	0.996510336697	1.014656565562
0.5625	0.970312201469	0.989713141133	0.968556739517	1.009956490986	0.993594064969	0.987214102489	0.968983630855
0.5675	1.033367425458	1.01554391438	1.016456158099	0.981341706231	1.031845843176	1.002831265177	1.012526739591
0.5725	0.968611742677	0.989566526837	0.9630622398	1.011462532289	0.996183962996	0.990585264345	0.972084956392
0.5775	1.032427334419	1.015610557242	1.014537026619	0.982419304749	1.031388802347	1.007262299888	1.013772251855
0.5825	0.969703907267	0.990539512619	0.966677042245	1.010774427211	1.002557143434	0.995105685924	0.971312738788
0.5875	1.030519502603	1.020595443308	1.014195263478	0.982691950157	1.031147586355	1.015626356765	1.020498018079
0.5925	0.969123262802	0.987633883843	0.976824778564	1.008541331486	1.012028045041	1.003903907585	0.968634887421
0.5975	1.037293688035	1.025606986518	1.010593605769	0.987223057181	1.027986387293	1.018946440411	1.032778768998
0.6025	0.972192383548	0.990792755494	0.984777343943	1.009060656073	1.012942126697	1.009356506496	0.97538556389
0.6075	1.045090913716	1.02410085784	1.009936368961	0.991572400599	1.029789159449	1.01786102845	1.043029334928
0.6125	0.975330628636	0.996923898783	0.990416435757	1.009229436564	1.007127551716	1.011501791313	0.988438532413
0.6175	1.040888153775	1.022661372025	1.015996092333	0.992026809612	1.032175928218	1.018154728157	1.038744772741
0.6225	0.971860586711	0.991245926955	0.990455869966	1.011241819339	1.004855043154	1.01359599792	0.994790644957
